attribute,sakey,svkey,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,average_imputed_distribution,round
363032,363032,363034,0.31521063016037304,0.4448090660362217,0.40433649833609453,0.3959149968307241,0.4331074509956496,0.4270056446509829,0.447266806557951,0.4252026123887144,0.4364583118822563,0.44257412711731703,0.4460797070470714,0.48031058049372816,0.42485636937475707,0
370372_370381,370372,370381,0.44654899803218784,0.37159434495269295,0.35510297529641416,0.3586714008990086,0.3857462950137249,0.3837747785737386,0.38381637146291486,0.40727091483705713,0.3374898588738937,0.36298837426283176,0.39109167025622643,0.35979899811358385,0.37865791504785634,0
368829,368829,368831,0.06381133956754254,0.01681262036829751,0.009985449916785683,0.019836691760574416,0.023074109361161315,0.018505963180674684,0.01569279436570587,0.013894768306548828,0.014722932813884307,0.007672155766963105,0.04086596251411646,0.015173466428937903,0.021670687862599385,0
397165_397173,397165,397173,0.13139537139120988,0.13413385742961548,0.08314657914101058,0.12013582230343682,0.09231151022518434,0.1102171659635986,0.1356844586720269,0.09221971410487642,0.06981654055303665,0.09660037657254263,0.09224869950685688,0.06268598421949198,0.10171634000690727,0
368054,368054,369259,0.7482625195532591,0.8305955190726723,0.8301161976717484,0.7297655585485555,0.7534121617946067,0.7730656283461621,0.7554885658234785,0.7775973611430074,0.7826474989948385,0.8053575944895334,0.7873474582353475,0.8190604855974682,0.7827263791058897,0
387286,387286,387290,0.008933999957771568,0.009672136500928626,0.010104562163122504,0.008147657307192918,0.007044100908919584,0.006017665321649019,0.00878867075038604,0.008021072058332397,0.014220674074363452,0.011647117140878344,0.012697353685111613,0.011917434627030045,0.009767703707973844,0
368967_368989,368967,368989,0.04060454826739607,0.03410054298608289,0.02619755329614816,0.035821014432202064,0.05298236509319285,0.05821409656640969,0.052588554519688954,0.04827154456124644,0.057977397290983085,0.03499364365896147,0.041915474354374614,0.03863282653006333,0.04352496346306247,0
368967_368968,368967,368968,0.43099370912011037,0.2831353185345126,0.20441006100682357,0.2243156400016696,0.25900287144765616,0.23608792231020692,0.3591447700598949,0.2903267716215,0.21640848150072564,0.23894860854070246,0.20224531710918847,0.15332811923374826,0.2581956325405616,0
378388_378391,378388,378391,0.03328075327325323,0.028682397637330923,0.037383282034240795,0.04555017149003121,0.03935411668988084,0.05220294574030898,0.05044886464845957,0.05224623063170842,0.04936928502908943,0.03662939039068641,0.0373668493922386,0.02777483089579162,0.04085742648775167,0
129397,129397,131957,0.32722393536863037,0.33862191756633037,0.349593661906621,0.33099732114032876,0.3475377307797062,0.35508030354178505,0.37371625871160713,0.33743424735863603,0.3656269827388182,0.35343452584659735,0.364371156766834,0.3544604920660968,0.34984154448266597,0
