attribute,sakey,svkey,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,average_imputed_distribution,round
286057,286057,286102,0.6217273312256483,0.5170123788710722,0.3495954426343213,0.3066972206854797,0.35392692906478224,0.36365473861242875,0.5377446727831517,0.35586074435538184,0.33707804716058143,0.35923341729210895,0.3521258412360185,0.32756628902161267,0.3985185877452157,1
378200,378200,378840,0.007434508136513684,0.005539411991730151,0.009655699168056916,0.004779117316912029,0.014484352119518205,0.015285693836317803,0.019336714279956608,0.017728961265218845,0.015444547974722795,0.015508257192023804,0.008096424346123985,0.015289834285413598,0.0123819601593757,1
391670_391675,391670,391675,0.1011435256290338,0.08963422292393329,0.11052463303966473,0.0937559187413058,0.10012275581130359,0.10758460466585952,0.09704432971767214,0.10029719835433762,0.0899149839009291,0.08776264777691507,0.10038199345846978,0.0825947936491285,0.09673013397237941,1
392391_392397,392391,392397,0.2703594777601108,0.2805586908400863,0.2699498101268074,0.25776702620989567,0.2756782700203993,0.2681889496917529,0.2814965994455103,0.27663382855237245,0.24358173704306038,0.17278257432381566,0.21856264900421105,0.19790223847700658,0.2511218209579191,1
377042_377064,377042,377064,0.1463773339109931,0.17417589168198094,0.14633126776144964,0.16980136016789588,0.17881059356368545,0.16290958473709968,0.15488033988513147,0.15410243621013991,0.15165116411688404,0.15980118314395395,0.08888748035533167,0.10756541417168447,0.14960783747551917,1
399175_399244,399175,399244,0.9028771086655886,0.9001668280848149,0.9533362864753654,0.9322844845975625,0.900192879518102,0.8850258043206805,0.8931932662191548,0.9062774197059049,0.8739673263945715,0.830438662149089,0.8474890169701075,0.8834065999726438,0.8923879735894654,1
384111,384111,384114,0.002029700772169632,0.003501291580537857,0.0050187031224388605,0.004991819388888703,0.006897873038338293,0.006786926652774816,0.006837335089478407,0.0052162295856618005,0.013290160669909954,0.005200508050409519,0.00549309500811235,0.006195019877991107,0.005954888569725941,1
363032,363032,363035,4.265472201105633E-4,0.0016350756765566169,0.004050881214642223,0.0018798116534257583,0.0037892558369354633,0.0033811567441469057,0.0031596159766562513,0.002691262630221347,0.004014507561445282,0.006025767838550316,0.0033079169376601155,0.00910302644001759,0.0036220688108640365,1
368086,368086,369216,0.0474397822020467,0.018075325690337096,0.011450383996436166,0.022216161202888857,0.02333219660851988,0.02724113321002257,0.02235751354895893,0.011898639224316079,0.02061336189206836,0.024250712112421316,0.02912825508109697,0.032657528663167144,0.02422174945269,1
391996_391997,391996,391997,0.22754755887060985,0.15208531823367666,0.10310745608576477,0.10565177841574022,0.1563623722072349,0.1480098146174902,0.15937063691532444,0.19574484726470615,0.20016954775927098,0.15016796778671954,0.15271087734902253,0.16727573901632356,0.159850326210157,1
128007_148457,128007,148457,0.1904059313497251,0.1925093234799511,0.18284683356409986,0.225032008298462,0.20958927482902362,0.18283054068918672,0.17685545432976035,0.19483014325899872,0.16772292710071668,0.17222392543774642,0.18870498945591077,0.18799581380598687,0.18929559713329738,1
368760,368760,368763,0.44100634975902075,0.41532620261094183,0.34587299011299294,0.39772074190555395,0.4223486199513814,0.45231885321718185,0.3362363619061193,0.3509303822554391,0.4753052684939742,0.5175416927934303,0.4518508599739171,0.5310857839820541,0.42812867558016726,1
283942_283910,283942,283910,0.25844969173450827,0.1657025809513555,0.1724451466415374,0.1399116446558883,0.17002620548524996,0.1487314360861615,0.14428206319997616,0.15280188226036537,0.16698377806771167,0.17127792107361514,0.20096815273394011,0.17716841206272427,0.1723957429127528,1
260629_322921,260629,322921,0.4105298786978862,0.35570121626655965,0.3034382391169468,0.3408793581637015,0.3177408487714496,0.3264230938346471,0.35873805413130516,0.3539175037820966,0.30595758117346633,0.3555794815400409,0.3986837884951779,0.3031411265254318,0.3442275142082258,1
391917_391920,391917,391920,0.13822645164378225,0.0783471284703428,0.1456896198579047,0.1504115932744757,0.14690360052406423,0.13888817361243735,0.11337267699507293,0.12413433272424595,0.12768136887378928,0.09824924942543549,0.0729185374752271,0.06293622637428767,0.11647991327092211,1
404485_404490,404485,404490,0.3617071263166193,0.37271101847890764,0.3939865473990536,0.44568091871967047,0.4394619655621489,0.47510555406288985,0.421244402779211,0.5217973399134074,0.3207715824695348,0.4002875547773229,0.37117513080999265,0.33963157306189945,0.4052967261958882,1
392036_392045,392036,392045,0.0037086921859606167,0.004466726931401571,0.0020377573072496284,0.001044991691680145,0.0022490230790823368,0.002923336595723943,0.002596914158757122,0.00280790523419931,0.0051700361440728156,0.003534175972423669,0.005051311326667728,0.007851272004479559,0.003620178552641537,1
384043,384043,384047,0.0034568572790278154,0.006859376246593595,0.007100252840759627,0.008097603121471723,0.009279131785392903,0.010274734597182767,0.00941741912430577,0.012823104854934117,0.003616486145060644,0.005567066338409547,0.002952275954505307,0.0029164928986344513,0.006863400098856522,1
198934_198993,198934,198993,0.004400864159773729,0.006232400982490348,0.0023350772272509586,0.00707139091164053,0.010132880084538276,0.011809362142402576,0.011284737270453678,0.0074853316172982555,0.010945601991260084,0.006631395557461451,0.00551518682280492,0.0061280289922253425,0.007497688146633344,1
293872_293875,293872,293875,0.6674244672969747,0.647720616645069,0.6324690310925057,0.6297668417067301,0.6336817335123449,0.6184222526998161,0.655525250385298,0.6618942218282242,0.6540477854721075,0.6837330121286765,0.6791450118403615,0.6739212553446657,0.6531459566627312,1
349898_349901,349898,349901,0.015341772475530762,0.016148604173606217,0.01598546665742482,0.02163362043482121,0.03705235799025696,0.024131224915327792,0.031226115134267308,0.025162084287742997,0.021170847922062943,0.010050232991191402,0.01659306182717624,0.018732481852456708,0.021102322555155446,1
159751_160934,159751,160934,0.11991699091430753,0.016575581256209986,0.050761893295269075,0.08778835997917646,0.07747924708714941,0.08600759757281574,0.03477283160584552,0.06288518900071338,0.049549358867547445,0.08190629458877645,0.08179791807409297,0.16095174903602008,0.07586608427316033,1
395032,395032,395036,6.611625808895181E-6,7.468218218729154E-5,3.3047832888519224E-4,1.6006583116289454E-4,3.7626236155857115E-4,3.196415237547286E-4,7.710303054762752E-4,1.2398990402459606E-5,5.2632644330896045E-5,2.55397714080917E-4,5.762947190106541E-5,4.8638328461495124E-4,2.4193452201367812E-4,1
385494,385494,385495,0.06509235364724236,0.05144524967602708,0.044775389849611796,0.04299083326598481,0.045663945334350864,0.041085685457634226,0.031640680204205546,0.02688670907115967,0.047572162510998155,0.03816539164221784,0.06705766330707509,0.051483125486025044,0.04615493245437771,1
389368_389384,389368,389384,0.513015436657377,0.6037487726807936,0.7484931088729438,0.7372532512079224,0.6675196190344967,0.6715238264918167,0.5647675720515849,0.648951541115245,0.6835814067990211,0.6353837641213944,0.678559467230695,0.623911038531962,0.6480590670662711,1
373198,373198,373204,0.032637736576623125,0.02036949492929312,0.015034621470051732,0.016405639685881098,0.020723139622691872,0.028620246116742572,0.0250062513767894,0.027591587605947408,0.01742725649286986,0.02181699299525194,0.02360580279969436,0.020542351870689708,0.02248176012854385,1
395259_395261,395259,395261,0.019690207697243525,0.012471500827979893,0.01489473991303225,0.021329687997966612,0.02217209434845245,0.029029402484276344,0.03571706914501045,0.029065385215876642,0.009525001750543022,0.04033942895635912,0.02036325520355118,0.025910111316952627,0.023375657071437014,1
311884_403703,311884,403703,0.7664667221925728,0.7470196503548784,0.536281197754613,0.5510378805851522,0.5283101245924101,0.5449145897718217,0.5951095154762732,0.6915751712976802,0.725657985567508,0.7203402275137764,0.6738318238329495,0.6973170830389804,0.6481551643315512,1
384255,384255,385096,0.7774986877453961,0.7590817821675471,0.790142103428534,0.7050498524486224,0.6730868806411117,0.714446303805477,0.711670326170487,0.7735812929418091,0.5919858427112918,0.7590748345920882,0.5933757586620902,0.6198935693684821,0.7057406028902448,1
381637_381644,381637,381644,0.1724403520573694,0.2081372865531681,0.17111871360526013,0.1912618196781452,0.1391583646242026,0.19067975146529123,0.24631674792828656,0.18415483511343067,0.20258177364016194,0.25188798848828947,0.17994781083982364,0.16772581569160253,0.19211760497375263,1
396569,396569,396574,0.5416370779960978,0.5697601133427688,0.5272112006124743,0.4959206400735661,0.5387440542278574,0.5221505554314341,0.5772276632655331,0.5930019510888093,0.46369250608432966,0.41641283949290847,0.46512245559481835,0.5127168017132344,0.5186331549103194,1
128005_144337,128005,144337,0.3054860460470391,0.2692257633387467,0.24832008734386785,0.21670662987500555,0.2747435004107614,0.2440035982985026,0.27327426931289617,0.24404062995679401,0.25414286643739564,0.18308662260975245,0.24341361614420076,0.21629121481029243,0.24772790371543787,1
386023_386025,386023,386025,0.1870421566605894,0.19860836955772376,0.17809382625654505,0.15030532745260097,0.16400929170390124,0.1739739425673148,0.18346932609635305,0.19345716990591874,0.18939190256401375,0.14128920715901916,0.19062961874679007,0.15377802682983174,0.17533734712505014,1
395143,395143,395146,0.14338344647709367,0.1894189217279536,0.17306046990358884,0.22180357200251577,0.19995138262698045,0.2185535830773951,0.16687794107421663,0.21935541372686654,0.1628854283609133,0.21010202410557685,0.18928236430313436,0.2589361139096403,0.1961342217746563,1
127999_144382,127999,144382,0.2531262474339864,0.18528434094524593,0.23775256430837152,0.19864484782147768,0.23848787235911442,0.19519151606708846,0.19078703852919857,0.19129647551248755,0.19441757970162216,0.2212951519293817,0.24019774618603337,0.23871230544327215,0.21543280718643995,1
389289,389289,389294,0.011895774037558062,0.014895288141989106,0.03298460986029178,0.024184498403815032,0.029575867172759607,0.016702563566687798,0.01468515078372516,0.04626887445285077,0.029373347741308974,0.018046885000186717,0.031773871303778435,0.033294449540365735,0.0253067650004431,1
396663_396668,396663,396668,0.17876718915574336,0.19788744652859938,0.2682325298442045,0.23724997147631913,0.26972107447053584,0.23258333370518103,0.22915757162495876,0.24867541555851566,0.17927460110761254,0.15692100143174229,0.19595451818601,0.14921617572112827,0.21197006906754592,1
311648,311648,311651,0.37776902144442137,0.41501575480663433,0.3351051878235997,0.3901266566149281,0.3683921010384621,0.3587902820006609,0.3260618313804979,0.3685112971559803,0.3517419128775085,0.30576241211559874,0.3827699951089965,0.34458265526936305,0.36038575896972097,1
378363,378363,378899,0.5291182251157582,0.5528868619013745,0.6709317862116854,0.6247374889858293,0.6023629157230912,0.57865343292306,0.5635913655173164,0.5584208471348032,0.5898048596089971,0.6299452042629622,0.575197772813763,0.576237910345731,0.587657389212031,1
130698,130698,146929,0.07700573125655723,0.11094683295411836,0.07133667521541606,0.11580308799084665,0.06619203187194536,0.12706261179431663,0.06835382989363754,0.060297873645813654,0.07989588058262104,0.07468806068708282,0.08912102682891432,0.07767341721722361,0.08486475499487445,1
404485_404493,404485,404493,0.021261270379124647,0.07910601427130837,0.047907324735691786,0.06427493778386081,0.04342306009080701,0.055175239307444376,0.06716332582575979,0.0372632677856991,0.03404016912892859,0.028500992866055643,0.03690843659283011,0.08925773435295366,0.05035681442670533,1
151835,151835,151919,0.38641585254235666,0.470986499018789,0.4671208069711856,0.460081197358579,0.4128239483035571,0.35134652718593984,0.3991888835383345,0.4943362710963224,0.4301697197388946,0.31789401758150176,0.4628357220889718,0.4637621427163502,0.4264134656783985,1
