attribute,sakey,svkey,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,average_imputed_distribution,round
319605,319605,319609,0.00451310710905489,0.010101552190905985,0.04373430178922831,0.03500995819101072,0.02822225422555565,0.03466124931403603,0.02830542468188437,0.023138098959963497,0.008394373226991351,0.008928215391448014,0.009483405653665709,0.013846795970055753,0.02069489472531669,0
261713_261720,261713,261720,0.01600197094530459,0.02261495992225465,0.017497312119694592,0.026215601757618855,0.026942572055011386,0.019979344484872985,0.02692330803197483,0.01701030412582075,0.010423798866070855,0.026093211665812775,0.02124749303736753,0.014580981003109221,0.020460904834576084,0
149480,149480,149482,0.353055395969334,0.25667678962281315,0.17990877045994685,0.16081560294252306,0.18501263826948933,0.16516684642745733,0.23147258671645585,0.24123151014046473,0.23504354532341187,0.20901191885393006,0.26782456369224816,0.20266540804593539,0.22399046470533415,0
392229_392237,392229,392237,0.7457654749113196,0.7323285824273277,0.692678490663224,0.6852398158426382,0.7350204632635488,0.7375455291099098,0.713785201872841,0.6777164861082313,0.7757492954147366,0.7138404376218729,0.7113992798353533,0.6857197162270999,0.7172323977748419,0
310756,310756,310757,0.004392461463734485,0.007417906371524854,0.005276371722630157,0.0069367930833031015,0.009703334393774554,0.009535150712229486,0.01038941667737923,0.007185926105066871,0.007839218331416943,0.007311178441272586,0.006895056012182299,0.014786451796538858,0.008139105425921118,0
391996_391998,391996,391998,0.28193792073956336,0.30056789603206496,0.2991366845041617,0.33118278977090504,0.35469887586088134,0.32457792986030015,0.2489790440179756,0.3201319164981389,0.29565460602966176,0.28436252579068555,0.3611379476480497,0.2988266180432052,0.30843289623296605,0
130692,130692,146940,0.15128519595663162,0.19489382776557393,0.18332001563360292,0.19119330258438028,0.12305210415382165,0.21041685627463466,0.15082876106609924,0.2122142729208302,0.16530150663929177,0.1622837198301573,0.23178829780558294,0.1700493536998356,0.1788856011942035,0
380457,380457,380460,0.08987619465137582,0.10468450046065582,0.12899711706570785,0.08682922094480675,0.10816223357614686,0.08615035077905453,0.06482591268892567,0.08258159524415765,0.04638799569019838,0.08914217208382885,0.06846093917163516,0.07659104595931088,0.08605743985965035,0
295289_295295,295289,295295,0.5597788593871359,0.6304700821098014,0.6900506905814471,0.6588970202164706,0.696156230153174,0.6608274416536726,0.6539603901659456,0.6964965775969183,0.5452101016625334,0.6564182595242045,0.6218626221879415,0.6564234891517635,0.6438793136992508,0
387198,387198,387200,0.0017297790246260684,0.0017089434906905048,0.0034373813997691,0.002492661215519089,0.0031159060435448044,0.002152476207086601,7.057162760242336E-4,0.0014662344641134678,6.045655919653599E-4,8.875375896147185E-4,8.306936928158245E-4,9.392753982947601E-5,0.0016021518779666042,0
152297_152442,152297,152442,0.43605122153638276,0.47144257165974063,0.50779772206093,0.5242806732108402,0.5191280685466657,0.5300318651735929,0.46218766226724756,0.38861013344631506,0.44866751868640636,0.419801797575932,0.4597231181439351,0.46783221844303147,0.46962954756258496,0
128007_148451,128007,148451,0.8119264490494067,0.7840085477258016,0.7920785787000618,0.7879621691155982,0.7695679287427424,0.7647300626090795,0.760589614187492,0.8116958326081198,0.7315125253383572,0.7698402829000254,0.7092156104369046,0.7511520160350013,0.7703566347873827,0
129893,129893,132230,0.019441810583911267,0.01972418626621845,0.02068116106406766,0.022404859875564398,0.026207774116154752,0.022515817535373295,0.025655132764538263,0.021270708838355672,0.02190224854125751,0.03053920742781497,0.023648650883369596,0.027380884016405056,0.02344770349275257,0
404203_404209,404203,404209,0.3272147790111041,0.4769601337653748,0.4772160378513525,0.611079171207536,0.570603925885583,0.4820666511750257,0.4514463315522449,0.5874868506588732,0.4155351123670781,0.40776633161675074,0.35288005087913304,0.3143884022734429,0.45622031485362496,0
262113_262154,262113,262154,0.4232688695335162,0.40206287027496773,0.41809537950077913,0.43307529652853827,0.4121835275824362,0.3957664620518955,0.4462395380990497,0.4780976178436613,0.4818837810911274,0.4347331736591115,0.38892485346605316,0.3560323930105565,0.4225303135534743,0
394152_394175,394152,394175,0.025063917081961637,0.018362051146612785,0.007483273878777626,0.0075630151905624705,0.013608418921423246,0.00954365188834191,0.009897715975189113,0.00616019058602227,0.011141371415328026,0.004223633243723862,0.0069399798126915215,0.006574911599629776,0.010546844228355353,0
377077_377096,377077,377096,0.19567421536381172,0.17973027077823298,0.13910664772892212,0.17426179468725203,0.2028304509904078,0.16238891254496274,0.17603901637060695,0.1755036031307359,0.15936390491564498,0.10406914896031642,0.08859939460180666,0.12944845523502901,0.1572513179423108,0
404502_404503,404502,404503,0.46139740328236645,0.44836086957096866,0.42638779176401753,0.3698928922671825,0.4036582362800522,0.4079930684832034,0.4219866433066041,0.48384272892136515,0.3360531866664869,0.38746635488811704,0.46862958378967146,0.40919020160433933,0.4187382467353646,0
377077_377108,377077,377108,0.027326703857678613,0.0539411987233338,0.027596967838387762,0.030481848826093172,0.037850464395385364,0.035097695333764146,0.035536924268657656,0.025209375196409638,0.05530521934408899,0.03289581204457886,0.017990908271230784,0.025850950686557458,0.033757005732180524,0
404525_404529,404525,404529,0.38236507493597266,0.45456750351655867,0.40354249433837347,0.41938513025635393,0.45575099074763425,0.47020085930031913,0.4377877679642218,0.4428136854399986,0.21036412515253705,0.2945219704483228,0.26499860338117953,0.2766661360083139,0.37608036179081544,0
385575,385575,385578,0.16910371817537007,0.23124197306728922,0.16608162401963436,0.13331365569322942,0.15246229575133258,0.14661942241955508,0.21300548714787265,0.15482178045856973,0.1694851581485282,0.13615059783094238,0.25888949398502914,0.2959647597587539,0.18559499720467554,0
383673,383673,383674,4.1714443866024717E-4,1.0089844806990821E-4,0.0024683678433850007,0.0013072087846173002,0.0033356730206330434,0.0016778209869208814,0.0012536744790655066,0.003216640225942148,0.0012636969970255829,8.42874152384266E-4,8.626626999388257E-4,0.0014382078666591008,0.0015154058286084842,0
377032_377040,377032,377040,0.20377616044800534,0.18552702847098265,0.12259884147420716,0.11780176411427118,0.14065224944752944,0.12126296555323407,0.1465348517558336,0.19597255645695896,0.21946732108049294,0.22270284455955897,0.22412154189763214,0.2126561879460929,0.17608952610039996,0
368945_368964,368945,368964,0.2442419027961019,0.089520609362071,0.0878785999430651,0.10643564033757834,0.13223050925815624,0.14473866547553554,0.15128377023645265,0.12824579621151957,0.12456894962633275,0.16916635941957497,0.18147994977760037,0.14850732243882364,0.14235817290690098,0
368859,368859,368862,0.5137641094098057,0.5491151043455544,0.41768665527724735,0.40586784430923095,0.3650059844096527,0.38327193794137826,0.41108117807494565,0.5475130654513085,0.3983776415141895,0.5428006483990875,0.5441201426234629,0.5001977059663058,0.46490016814351404,0
364257_364262,364257,364262,0.8169576939345637,0.9163892060897124,0.9507387763019626,0.9309806371612278,0.9335729678351278,0.9383904765850942,0.8999473208172376,0.9318248219678237,0.9199349583818002,0.9674185183111473,0.8988607898970211,0.9083940299350471,0.9177841831014805,0
363104,363104,366120,0.11593335843086043,0.08494606028027017,0.09516838696489346,0.10554143535709665,0.1292534352195186,0.11987334095686597,0.10664112971425473,0.10698924910401457,0.09342565120283901,0.12442065437084811,0.11829964862138675,0.11855720900793174,0.109920796602565,0
384032,384032,384036,0.33815191362327657,0.4600550536187435,0.21370710272949178,0.29721496466408237,0.23636224246593482,0.23164630758799382,0.3232228219124571,0.2760892316896215,0.3794411315227565,0.3109801302691031,0.36998795073808766,0.3438371279902158,0.3150579982343137,0
385525,385525,385530,0.06141713374440155,0.05530992838048945,0.056961578626114784,0.07984381084890611,0.1394656808975547,0.1366208557569699,0.11400813367553016,0.13262776975803514,0.1003388569639867,0.06671855982813868,0.09695348438774155,0.08592994057417122,0.09384964445350334,0
386820,386820,386821,0.40187532256970054,0.4648540364204311,0.5509304436689118,0.5071380177809984,0.4762581227072185,0.4599148454119245,0.4735356234606529,0.43992074776503526,0.3828115534790184,0.4496951013626512,0.37074193464249505,0.40087682626749216,0.44821271462804413,0
128219_148711,128219,148711,0.06432634038508991,0.0975015314031617,0.06499843263135832,0.09028756671784556,0.06803041780016311,0.0923778834055195,0.0662384532492398,0.06658720745359925,0.04805678485160698,0.053604883068526205,0.06185995098859351,0.05521189462242575,0.0690901122147608,0
295541_295542,295541,295542,0.027549181940881063,0.01948409563474362,0.01725347338829854,0.018151617065401183,0.014982418502432418,0.03654627685681461,0.04049869455468868,0.013821919909777027,0.018773401631254967,0.022401993052970453,0.02198311071503384,0.018155566102269927,0.02246681244621386,0
130296,130296,142271,0.5651009622961213,0.6709612554078525,0.6703567055969503,0.6610049223966461,0.6192606565828686,0.5997050426000284,0.6011608450608978,0.632750626246926,0.6268204349302833,0.6965582645222996,0.6209548157946143,0.6115366565886484,0.6313475990020114,0
403954_403968,403954,403968,0.08692313849239156,0.15513952535032552,0.12023794504433517,0.166518607631514,0.14101870206812162,0.14640589113256663,0.13327540407704425,0.1469659716127562,0.11322880178541894,0.16929277444393503,0.1069965718308869,0.12314396332357394,0.13409560806607249,0
392289_392294,392289,392294,0.1345565082707138,0.12476398817881205,0.08995344270339259,0.09022063833892534,0.11700202881631516,0.11103041621568979,0.11691506890679233,0.12076824538452079,0.1318472005152009,0.12252424733525008,0.1253312410239557,0.13502443166260097,0.11832812144601414,0
381559_381560,381559,381560,0.8294560527085136,0.769383648214371,0.7527836225243076,0.7049714334298927,0.7457039731245986,0.7388279993155361,0.7705139291062385,0.7301103498499053,0.8251364749583139,0.8119142997644407,0.81007086958192,0.8257786410010146,0.7762209411315878,0
128099_144002,128099,144002,0.26676748393991195,0.2312395515477051,0.17407837342892582,0.23389121244743216,0.18346326804033414,0.24284379370122586,0.21891867589189704,0.22168261424470329,0.1612347036925464,0.19580621489928063,0.1937110343269067,0.1668801418160731,0.2075430889980785,0
128841_144237,128841,144237,0.47980814379461,0.49422220795442057,0.41452853919718413,0.4100923575969626,0.39688457394350296,0.3868389032797138,0.3777434613487934,0.4440506282925638,0.19008735856539538,0.2099078348570291,0.2737457114429996,0.2488716280715458,0.3605651123620601,0
295849_295854,295849,295854,0.5750799291958583,0.5284150429886991,0.6103124355011785,0.5114351852065312,0.5247622576337746,0.5232641281103153,0.5125503289090317,0.5823041459682724,0.47858338984839355,0.46507798183842747,0.5804300951023117,0.5022673247969353,0.5328735204249774,0
198934_198991,198934,198991,0.4700852666615902,0.31232025365905636,0.339318609455894,0.35187585819072126,0.31921380509813274,0.3360046181140694,0.3172450674043011,0.33089417946085214,0.3061343399804929,0.3451673161056074,0.32143848808030817,0.3041287387875806,0.33781887841655056,0
260629_271620,260629,271620,0.279663373966693,0.19270684797914234,0.19988842553804645,0.17536587775747728,0.16218829620027195,0.17216738575906815,0.12199899980219661,0.17070689632848843,0.1421233491763463,0.15898927611504415,0.17385629827017762,0.13170056357895352,0.17344629920599217,0
396631,396631,396633,0.10727405504472422,0.11243011285378572,0.08182024773212183,0.11395108671659206,0.08895154286279304,0.07354516838124411,0.11179657166099013,0.05823840777037025,0.059005063780213377,0.049917510557579925,0.08719727755923122,0.08946328384015763,0.08613252739665028,0
261737_261740,261737,261740,0.13603932510671382,0.21578203467380522,0.304788884204128,0.293067741251865,0.2510923327561933,0.23433973379920342,0.3144550140043974,0.2971516268767997,0.2750354734107377,0.29746736006839886,0.24064993453301214,0.19377343291213436,0.2544702411331157,0
396606,396606,396609,0.38380792253111035,0.315549450977882,0.5211955179648605,0.3677094634016705,0.38178802518682786,0.41364709346720213,0.3496978803439846,0.48512278921471375,0.4076394750966118,0.5482117661653478,0.3822702653818534,0.328331213191898,0.40708090524366364,0
391792_391803,391792,391803,0.5777939181750118,0.6284166447440891,0.6894018734501933,0.7101878160658144,0.6584694595989778,0.641201821641101,0.7579565687965346,0.6160859590990178,0.32000603369896363,0.45337103134947343,0.3770559167505492,0.3514810311074315,0.56511900620643,0
199078_199983,199078,199983,0.3984162847986966,0.3045326255403224,0.26383694651332934,0.3547097972094117,0.2951309832093481,0.3269010146216434,0.3729231824592,0.4177883754213147,0.3175570362411172,0.29631142590260645,0.26886680692615866,0.2861605475081091,0.3252612521959381,0
159751_160931,159751,160931,0.5043147205617745,0.5038804138601409,0.543057817725525,0.6578300824055383,0.5656842456838022,0.5750734349961955,0.5113796529728387,0.5682634330952234,0.6705014668778021,0.6278685358771015,0.5344046515022786,0.5375393853065135,0.5666498200720611,0
404525_404538,404525,404538,0.1065555089659447,0.055880631756427795,0.029215962744212343,0.05076523296993444,0.06517169425042096,0.08380702777745087,0.05711485912044714,0.03599890667462644,0.10870984779754046,0.08974860382825037,0.11538651045168392,0.10774053524964439,0.07550794346554864,0
370134_370139,370134,370139,0.17051266494359377,0.2969323564849903,0.28341585646696726,0.22725861486302226,0.26374143950357437,0.2817706588844587,0.3089617356607695,0.3029907410353665,0.17356716473237752,0.21671682651911586,0.15493537802221857,0.1441751208980873,0.23541487983454512,0
377835,377835,377837,"",0.001924712802156302,"","","","","","","","",6.032169821934438E-5,1.9100238094758843E-4,1.8133640677693626E-4,0
294970_294972,294970,294972,0.05196200429818906,0.05934385129321008,0.0663717658082874,0.11279462821919846,0.08545813739156995,0.10383264060469675,0.1458609448502251,0.09348553577232047,0.03254218727685053,0.06391100302422091,0.0648177777768508,0.05030841540316378,0.07755740764323193,0
128104_144733,128104,144733,0.21471457484573592,0.14841198859136537,0.11694534175308322,0.15653411806163725,0.12719420218596156,0.10441964130669543,0.12920018654919882,0.13405795528062595,0.14355272309832737,0.15798000420662742,0.13899519164467408,0.11789949678591494,0.14082545202582064,0
381559_381563,381559,381563,0.04192204118195061,0.04080287390710901,0.05208962140623796,0.04983959769675048,0.03739757228557502,0.05247064352662519,0.04098676904800905,0.035513125985258964,0.05722087222303765,0.060835752042250474,0.054022800133276615,0.05191091608445511,0.047917715460044676,0
394984_394989,394984,394989,0.09679153659661764,0.12678816765218465,0.05226324505510981,0.08532630389594575,0.10688361444606306,0.09133078088529686,0.12316870892922897,0.10019272540463219,0.0921512473557855,0.07056771279425604,0.06389515986682512,0.07994411437964645,0.090775276438466,0
392252_392256,392252,392256,0.1711835306913007,0.15461970446381082,0.2013881400176957,0.19733655216344412,0.26633123045493184,0.265116385415648,0.22178945650766646,0.23041911474947024,0.23361992279210014,0.23892096948926583,0.14385935119726395,0.13894579774065366,0.20529417964027097,0
368126,368126,369233,0.5859871259994319,0.65726867736043,0.5646762814528659,0.6353523966149137,0.6119991252274166,0.6404552524469844,0.6946118036943435,0.6739099933566041,0.6688417612262876,0.7655151733628005,0.6949401134356155,0.6717824493974568,0.6554450127979291,0
384365,384365,385056,0.6478699447489048,0.6227967735484257,0.46423925903791136,0.538716520535522,0.5031595464625797,0.530421954264243,0.5184600937995945,0.5257077929810382,0.459664111994715,0.5066798297754066,0.6125293003945612,0.5814073102176756,0.5426377031467148,0
376837_376845,376837,376845,0.10598499081707967,0.08523079141168854,0.10789865865345967,0.11548715767661022,0.1357532499694293,0.14373231463920647,0.1230169684563325,0.11471196879759768,0.13770740668744721,0.13754647020688834,0.08370644167300434,0.10706863836241141,0.11648708811259627,0
376837_376850,376837,376850,0.716039482062561,0.662532867575371,0.5718662802716602,0.6931848470284747,0.6532182825508032,0.6710137999935846,0.6579270408708955,0.6176644140269146,0.6376277661151017,0.6821073881141009,0.5919874606953388,0.5899267787032871,0.6454247006673411,0
286050,286050,286080,0.515290255935534,0.528550824809147,0.8182313242106046,0.8505984053201736,0.8203822938660619,0.8113296360752368,0.6340697383055495,0.8173577283966299,0.8246186717252323,0.8081970973674487,0.8274927886141434,0.8304522444639167,0.7572142507574732,0
344163_344169,344163,344169,0.39347235402517033,0.37836659191178834,0.33363067963448706,0.40355674896285726,0.37689947669153034,0.3320829142779273,0.3243696905103322,0.39079023956925374,0.2311961154360957,0.19457055315017396,0.24594570963250378,0.26654093455084693,0.32261850069608056,0
214312,214312,214574,0.6312381790095503,0.6141066241704787,0.6804215953053624,0.5873083848518118,0.676010884498251,0.6024054154480312,0.6168728528475343,0.665963772114232,0.6432039839950652,0.6713403515410049,0.6028863100692445,0.6680710729341858,0.6383191188987293,0
128002,128002,131808,0.2186861226640134,0.30021974402114426,0.23776651064395307,0.22622291713070336,0.20929972041487085,0.23695016505832786,0.2092269230944325,0.16479225953400603,0.21376751305485422,0.1851460395220799,0.2094304909728971,0.2640327894922747,0.22296176630029643,0
350050_350060,350050,350060,0.08290021758162167,0.10088572396254258,0.13539234023810948,0.21651964402849627,0.17991595598522056,0.24508041738694641,0.21726277192842433,0.14172468503136584,0.11446093043781357,0.2347776299743348,0.19889885956002704,0.1961779926812301,0.17199976406634435,0
404092_404096,404092,404096,0.790689553953462,0.8205625105005573,0.8045185751353332,0.7755559115262153,0.7979686856286289,0.7567843714658948,0.7752126202770974,0.8203868782422925,0.812889092680286,0.7738027216215838,0.8309852833650584,0.8477662197733412,0.800593535347479,0
283887,283887,283891,0.14239402834395465,0.16069967921993034,0.18671545729859532,0.13035909665889786,0.13754656909775423,0.1277878572237544,0.1313550872514339,0.17565118902443858,0.12436168416610509,0.08599484974804064,0.09820671281598897,0.11191515812856193,0.13441561408145467,0
395131,395131,395133,0.25894602549019347,0.3920855912785612,0.5381193705615771,0.5824577380435243,0.49807381025736625,0.4871516338261959,0.4410396571065115,0.5210796356431462,0.33454705528719086,0.28378452453220815,0.3402113947886718,0.35149183733650424,0.4190823561793042,0
128839_144096,128839,144096,0.5663961596914463,0.5522182859650719,0.5413809927882691,0.5543698567506976,0.5469473310587123,0.5513431467711656,0.527924686016071,0.5001300508981874,0.5632934740150491,0.557703473032756,0.5452634538410686,0.5641074633636306,0.5475898645160104,0
379986_380019,379986,380019,0.5781784905872941,0.34918698862711633,0.5503864052750393,0.5497962097729171,0.5798982927855245,0.5906487817324255,0.434051085184256,0.5562597174524068,0.5684009499579661,0.6745433207161993,0.6730606253289194,0.611840467169406,0.5596876112157892,0
274339_274318,274339,274318,0.10613981968753204,0.24252945784195737,0.3488728062456641,0.3580199590115648,0.3378284269011136,0.3508274023382641,0.2345389244956309,0.37352460878501564,0.0778494818207233,0.1723614340355637,0.10481092519523948,0.12804134085242527,0.2362787156008912,0
312104_312111,312104,312111,0.3753100686348089,0.29576820363745127,0.2558033149057374,0.21690060957432863,0.23803844682244718,0.26029139755439806,0.2360786593684544,0.22525873031011423,0.3299272950247149,0.3252806431145711,0.3105292057111128,0.3114153915061888,0.28171683051369395,0
384149_384153,384149,384153,0.2138440922298516,0.21596193671598599,0.19018745586499106,0.26348621573464015,0.22467132819261662,0.25724069306000025,0.2688419889265474,0.2408282000723867,0.19955558478167407,0.12667515809040286,0.1212267155885189,0.13879661458034356,0.20510966531982988,0
374641_374649,374641,374649,0.6906641980109861,0.7033260769887131,0.6098010968439037,0.5791504366475797,0.599683198024152,0.6092263184754967,0.5941282545424068,0.58431130836674,0.6662407071618601,0.7560602911335773,0.6814124838091918,0.6960339086526471,0.6475031898881045,0
389343,389343,389347,0.29021283428296674,0.2611992272434123,0.27880409324292876,0.2788617602351192,0.2596511161285826,0.30097908856957,0.24646517112156496,0.2407231160093472,0.2621381124880613,0.2715636146757786,0.2347919063812908,0.27418502518408483,0.2666312554635589,0
295197_359740,295197,359740,0.44797489813678165,0.3587924944422668,0.3666656116904326,0.32441819215200557,0.3461126063272808,0.3212355606034177,0.4074800644232093,0.3502246933996615,0.6414109391634935,0.39475917519658077,0.45728374930091203,0.47688469919737203,0.4077702236694512,0
388801_388802,388801,388802,0.38180132849853043,0.407382325997227,0.42088703800851474,0.4366065977241076,0.38779189423860183,0.4441413976641415,0.5428064893804664,0.42973696855147503,0.45060906946148377,0.37428171613203237,0.3668071885442979,0.4336041135888847,0.423038010649147,0
380282_380289,380282,380289,0.6627126377306556,0.5839107628527802,0.4692251203252794,0.42953585614850714,0.39574934835911735,0.45077448742970333,0.46764308306222274,0.525088535966094,0.6949869527634149,0.6624151067270296,0.6729475077550375,0.6489514100682073,0.5553284007656708,0
378590_378594,378590,378594,0.07649638964534904,0.04474048869152172,0.09286123973213913,0.14300451271686404,0.14420154323669995,0.1769877630644492,0.10342079182681933,0.14898787267982666,0.13875385535693607,0.21848198673275404,0.1677832477088381,0.14883855262857942,0.13371318700173138,0
311884_311887,311884,311887,0.8225100853959533,0.7644705297738952,0.7614555618219703,0.8209762783131692,0.7613229729913639,0.7351946357671366,0.7409503205674933,0.7736277123731808,0.7024848321292175,0.7340360520191302,0.7080308788654658,0.5891778986196832,0.7428531465531383,0
320069_320073,320069,320073,0.43078304049871596,0.4096433471737565,0.3223244217124361,0.24389448959337437,0.32947135095930924,0.27949973280697954,0.3426828178507325,0.2687576969280334,0.37672364529832064,0.23633032599717518,0.379987142346208,0.34830204275884247,0.330700004493657,0
392379_392388,392379,392388,0.019575728945505598,0.017312172888566082,0.006634500362940657,0.007886812183967973,0.013154119766942522,0.01129641992738153,0.0129097312208702,0.013737867768549506,0.027872592720641173,0.010951122440679932,0.02095594116049861,0.02696586384364952,0.01577107276918278,0
380163_380173,380163,380173,0.7046402989969025,0.758538971459535,0.5987848628047473,0.6887706255393895,0.6427887210943023,0.6474882028216778,0.7021496747614596,0.7277768061645291,0.6506130554135484,0.6697589619701834,0.6649799757112467,0.6970366400123735,0.6794438997291579,0
370142_370146,370142,370146,0.9260158689757733,0.8959583025929205,0.8456721105380133,0.8296206354227659,0.8802106692034216,0.8662626892189196,0.7954398170572164,0.8866661416847759,0.936127207828869,0.9230624238791464,0.9263003346655889,0.9312395093470185,0.8868813092012026,0
