attribute,sakey,svkey,multi,label,prod_distribution,needs_imputation,n_respondents,calc_distribution,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,imputed_distribution,simulation_distribution,lower_bound_distribution,upper_bound_distribution,bounded,iteration
286051,286051,286085,false,2,0.01549001,true,179173,0.015037111982260513,0.004382285684612575,0.004875203784250978,0.012820973683541756,0.013691098006449536,0.014831066093320196,0.012421843439123713,0.005756840863380816,0.018085905863365472,0.017920959645299904,0.014398518968461694,0.016011807152212492,0.014446265355923681,0.012470230711661902,0.015020854363167212,0.014027195172284372,0.016142962337923394,false,2
286051,286051,286083,false,0,0.91914604,true,179173,0.9215010837372667,0.9321827652563274,0.921452206474697,0.9317438065330456,0.9331517542736142,0.9246658529946405,0.9185098878415994,0.9305627008061305,0.9165934858449224,0.9153801865855022,0.9128289863906208,0.9186306553964669,0.9250486557422765,0.9233959120116535,0.9214763379265378,0.9193284158110135,0.923684653183163,true,2
286051,286051,286084,false,1,0.06536395,true,179173,0.06346180428047422,0.06343494905906213,0.0736725897410437,0.055435219783406965,0.05315714771993616,0.060503080912046786,0.06906826871927825,0.06368045833049714,0.06532060829170813,0.06669885376919915,0.07277249464091687,0.0653575374513177,0.0605050789018068,0.06413385727668498,0.06350280771029551,0.0614275955630064,0.06540821463939475,true,2
384270,384270,385151,false,0,0.03533394,true,15996,0.03468872191839997,0.0012722867156448724,2.9239095771400853E-4,0.00332032913161309,0.0024833393760782243,0.03766474439182687,0.033296888117570755,0.0023687714795344763,0.030916498318096258,0.006467661399586714,0.003126197779635258,0.0012215382219122974,5.678133537466483E-4,0.010249871603579956,0.03471382559509332,0.030620773078531473,0.03939175046544558,false,2
384270,384270,385152,false,1,0.39003163,true,15996,0.38999290375107754,0.38030626286463776,0.37870852711523106,0.3819528635603804,0.37979124768088024,0.3788105095637061,0.38885112874261174,0.3865556098230273,0.32775691876491586,0.38158810002825033,0.3886686990431985,0.38272022826899055,0.38612688703314135,0.37848641520741416,0.3896895326446167,0.3785356772670487,0.4008685546974943,false,2
384270,384270,385153,false,2,0.57463443,true,15996,0.5753183743305199,0.6184214504197153,0.620999081927057,0.6147268073080059,0.617725412943045,0.5835247460444677,0.5778519831398136,0.6110756186974312,0.6413265829169837,0.6119442385721676,0.6082051031771637,0.6160582335090994,0.6133052996131126,0.6112637131890052,0.5755966417602894,0.5636083966887139,0.5866933294036873,false,2
380501,380501,380502,false,0,0.11140385,true,12230,0.11064690512348489,0.005768613614628026,0.004596525327597425,0.026037315233503756,0.059122257082189385,0.012879455563774216,0.00425161107528763,0.18189738838427152,0.10614842640702056,0.0021991968886676256,0.00866635894224089,8.491660437308992E-4,0.007963708319997079,0.03503166857357575,0.11101680899250371,0.1017797531966695,0.12025518171529209,false,2
380501,380501,380503,false,1,0.77825446,true,12230,0.778174920976752,0.9666400776452647,0.891223890049386,0.9436360380869601,0.8886584307038541,0.8795060698877362,0.8872431925496754,0.7788770666740266,0.8811948408581968,0.8909875598026895,0.8772689571236078,0.8928299587685407,0.9610362013957671,0.8949251902954755,0.7776729813253034,0.7662300220545806,0.7884901984145164,false,2
380501,380501,380504,false,2,0.11034169,true,12230,0.11117817389976427,0.027591308740107665,0.10417958462300807,0.030326646679533102,0.05221931221395586,0.10761447454849432,0.10850519637503887,0.03922554494170222,0.012656732734776733,0.106813243308645,0.11406468393415213,0.10632087518772643,0.031000090284242953,0.07004314113094863,0.11131020968219438,0.10286049085149851,0.11999827914665567,false,2
310752,310752,310753,false,0,0.05111311,true,65514,0.050858413843619284,0.011807310547190067,0.017976972423483156,3.162702802929525E-4,0.012794747608892541,0.018630485118685005,0.13738652505451734,0.017718192105092605,0.01275250844902069,0.050773425230393535,0.012758574036420717,0.013835032677122909,0.035492770464796576,0.028520234499659004,0.05090653199935099,0.048295062606992845,0.05361227809430789,false,2
