attribute,sakey,svkey,multi,label,prod_distribution,needs_imputation,n_respondents,calc_distribution,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,imputed_distribution,simulation_distribution,lower_bound_distribution,upper_bound_distribution,bounded,iteration
383660,383660,383661,false,0,0.21905746,true,6052,0.21905746010138913,0.4694802104911063,0.40158889547688104,0.28718693364680686,0.24503534513925082,0.2984322814406783,0.348887551315553,0.40396320841465777,0.3827997748906702,0.29739239254292693,0.3910530002702741,0.37084606089096106,0.4188374503536429,0.3596252587394508,0.2191852861221286,0.20464683473249323,0.23537084671204322,false,1
383660,383660,383662,false,1,0.22755804,true,6052,0.22755804240275068,0.22703681920834853,0.1853654067656913,0.23654785435303274,0.23096931537575888,0.24204148306386333,0.2328195575788561,0.17786486784702443,0.22049736015835303,0.2656399386568994,0.2338295494436606,0.3309201687665176,0.2334378880551611,0.2347475174394306,0.2279334227575207,0.2122512915265014,0.2434685714459169,true,1
383660,383660,383663,false,2,0.15863797,true,6052,0.15863797416411052,0.1379662810429354,0.1700330768333284,0.16866002239808328,0.16596443349516765,0.18499673133495254,0.15852709512140725,0.17199217491646276,0.2134817705407367,0.21758799594561623,0.170205302477462,0.14783182938467782,0.1499082294565208,0.1714295785789459,0.1586783986471245,0.1454646502090406,0.17208015413404484,true,1
383660,383660,383664,false,3,0.21420496,true,6052,0.21420495730782002,0.15645457044433486,0.14117594351194268,0.2193341640404073,0.22634255729645786,0.16070663229513318,0.1445636635602296,0.1537837939288993,0.1256709086264589,0.1277013552936269,0.11312913325069249,0.12911574722336078,0.12519803900960555,0.15193137570676243,0.2137997111799701,0.1996372853304235,0.22890700161432173,false,1
383660,383660,383665,false,4,0.09069283,true,6052,0.09069283261969002,0.0077545030911907046,0.09969556619809043,0.08682479406934153,0.007731533632240009,0.08182665672470213,0.06527502595076756,0.08958734999913733,0.015924184403816356,0.08657966791168986,0.09054396403014345,0.017934350833327072,0.06884769144899637,0.059877107357786896,0.09080198990793203,0.08090247524080701,0.10079449422113827,false,1
383660,383660,383666,false,5,0.04696798,true,6052,0.04696798088288177,0.0,0.0,0.0,0.0,0.014410745561205529,0.04606889547292779,0.0,0.0,0.0,0.0,7.980807458084402E-5,5.190398518650407E-4,0.005089874080048267,0.046797544571525455,0.03975344004298485,0.054517923572889565,false,1
383660,383660,383667,false,6,0.04288075,true,6052,0.04288075252135797,0.0013076157220840922,0.0021411112140675382,0.0014462314923292892,0.12395681506112483,0.017585469579466228,0.003858211000258648,0.0028086048938193407,0.041626001379965825,0.005098649649241501,0.0012390505277677184,0.003272034826574899,0.003251661824207799,0.01729928809757564,0.04280364681379929,0.035898358013847866,0.05007462565102974,false,1
283887,283887,283890,false,2,0.20733307,true,8941,0.20623543038742345,0.254666562435943,0.20573115272399498,0.23518100239538378,0.19971428134918995,0.22310928421882006,0.21783948653234403,0.230362873269138,0.2165767232175256,0.20252425433731505,0.21120273592865263,0.217305457107987,0.21763927198860566,0.21932109045874168,0.20605595728763232,0.19312613106615958,0.21874602387235975,false,1
283887,283887,283891,false,3,0.12479038,true,8941,0.1269333017869473,0.005111242274791002,0.132552532292976,0.12276967936345651,0.12931130436827665,0.13501486629257423,0.12457794757763967,0.12816344740763314,0.12359797847180663,0.12441547473310748,0.0648553871960062,0.01397140898189592,0.12197526499538235,0.10219304449629546,0.12665399256207074,0.11686631485608161,0.1368949014835987,false,1
283887,283887,283892,false,4,0.08018525,true,8941,0.07895161183306498,0.07483221289606702,0.005465990708505691,0.003965555128671557,0.005993930619140903,0.004790207809453707,0.024772673615529973,0.0,0.0026292964576449555,0.003578054354315708,0.0,0.001338509991845432,0.026103948922164583,0.012789198375278291,0.07910763517592344,0.07050736878654246,0.08737745042489839,false,1
283887,283887,283893,false,5,0.06649643,true,8941,0.06726306492344655,0.0,0.03307103247326566,0.06264970135968843,0.00348382276943823,0.002636210834476536,0.023980366699924663,0.0,5.19916697760936E-4,8.570898650767591E-4,0.07638472224415094,0.06381071470559053,0.015256027889703113,0.023554133794922983,0.06732931306460004,0.05929716890254981,0.07649137140753312,false,1
